,Name,Address,Reviews
114,Moxies,"55 Reading Court Sandman Signature Hotel, Toronto, Ontario M9W 7K7 Canada",2019-08-30T00:45:29-0400
115,Richmond Station,"1 Richmond St. West, Toronto, Ontario M5H 3W4 Canada",2014-08-21T17:47:33-0400
116,Rodney's Oyster House,"469 King St W Basement, Toronto, Ontario M5V 1K4 Canada",2016-10-25T13:42:42-0400
117,Miku,"105-10 Bay St at Queen’s Quay, Toronto, Ontario M5J 2R8 Canada",2017-09-07T16:40:33-0400
118,George Restaurant,"111C Queen St E, Toronto, Ontario M5C 1S2 Canada",2023-02-27T16:15:22-0500
119,Baro,"Toronto, ON 485 King St W, Toronto, Ontario M5V 1K4 Canada",2017-09-07T12:07:17-0400
120,Pai Northern Thai Kitchen,"18 Duncan St, Toronto, Ontario M5H 3G8 Canada",2015-05-24T09:43:35-0400
121,Rasa,"196 Robert St Entrance on Harbord Street, Toronto, Ontario M5S 2K7 Canada",2019-11-30T14:31:26-0500
122,Jacobs & Co. Steakhouse,"12 Brant St, Toronto, Ontario M5V 2M1 Canada",2016-05-14T17:37:32-0400
123,C'est What?,"67 Front St E Downstairs, Toronto, Ontario M5E 1B5 Canada",2019-04-21T16:21:24-0400
124,Cafe Polonez,"195 Roncesvalles Ave, Toronto, Ontario M6R 2L5 Canada",2021-07-06T12:26:54-0400
125,Silent H,"461 King Street West, Toronto, Ontario M5V1K4 Canada",2023-11-17T16:04:18-0500
126,Byblos,"11 Duncan Street, Toronto, Ontario M5V 3M2 Canada",2016-08-11T12:46:35-0400
127,Estiatorio VOLOS,"133 Richmond St W, Toronto, Ontario M5H 2L3 Canada",2019-05-10T18:32:18-0400
128,House on Parliament,"454 Parliament St, Toronto, Ontario M5A 3A2 Canada",2021-08-30T15:58:09-0400
129,The Keg Steakhouse + Bar - York Street,"165 York St, Toronto, Ontario M5H 3R8 Canada",2018-07-29T20:48:49-0400
130,The Keg Steakhouse + Bar - Esplanade,"26 The Esplanade Esplanade, Toronto, Ontario M5E 1A7 Canada",2019-09-28T10:47:05-0400
131,Via Allegro Ristorante,"1750 The Queensway, Toronto, Ontario M9C 5H5 Canada",2022-03-04T18:18:21-0500
132,Lee Restaurant,"497 Richmond St W, Toronto, Ontario M5V 1Y3 Canada",2023-12-05T12:48:15-0500
133,Chiado Restaurant,"864 College St, Toronto, Ontario M6H 1A3 Canada",2020-08-06T19:41:39-0400
134,The Keg Steakhouse + Bar - Mansion,"515 Jarvis St, Toronto, Ontario M4Y 2H7 Canada",2015-09-14T07:07:03-0400
135,Canoe Restaurant & Bar,"66 Wellington St. W 54th Floor TD Bank Tower, Toronto, Ontario M5K 1H6 Canada",2012-07-17T14:53:11-0400
136,Adega,"33 Elm St, Toronto, Ontario M5G 1H1 Canada",2018-12-17T14:42:57-0500
137,Perfect Chinese Restaurant,"4386 Sheppard Ave East Scarborough ON Canada, Toronto, Ontario M1S 1T8 Canada",2021-01-15T09:47:07-0500
138,Chez Fatima,"125 Promenade Du Portage, Gatineau, Quebec J8X 2K2 Canada",2019-07-08T21:11:50-0400
139,Aperitivo,"655 Kanata Ave Unit L2 Along the Pedestrian Walkway, Ottawa, Ontario K2T 1H6 Canada",2017-11-21T09:19:55-0500
140,L'Oree Du Bois,"15, Chemin Kingsmere Chemin Kingsmere, Chelsea, Quebec J9B 1R7 Canada",2021-12-16T23:07:24-0500
141,Gezellig,"337 Richmond Rd, Ottawa, Ontario K2A 0E7 Canada",2017-03-24T16:23:36-0400
142,Cumberland Pizza,"152 Nelson St, Ottawa, Ontario K1N 7R5 Canada",2018-07-13T15:56:58-0400
143,Hunter's Public House Restaurant,"4750 Bank St Unit 1, Ottawa, Ontario K1T 0K8 Canada",2021-10-05T13:50:13-0400
144,La Bottega Nicastro,"64 George St, Ottawa, Ontario K1N 5V9 Canada",2018-05-30T17:26:11-0400
145,Le Baccara,"1 boulevard du Casino, Gatineau, Quebec J8Y 6W3 Canada",2012-07-13T09:33:41-0400
146,Sansotei Ramen,"153 Bank St, Ottawa, Ontario K1P 5N7 Canada",2018-10-27T16:37:39-0400
147,Absinthe,"1208 Wellington St W, Ottawa, Ontario K1Y 2Z7 Canada",2017-07-08T22:21:15-0400
148,Les Fougeres,"783 Route 105, Chelsea, Quebec J9B 1P1 Canada",2019-05-31T16:37:42-0400
149,The Brig Pub,"23 York St, Ottawa, Ontario K1N 5S7 Canada",2019-06-12T15:56:51-0400
150,Beckta Dining & Wine,"150 Elgin Street, Ottawa, Ontario K2P 1L4 Canada",2016-03-06T06:53:55-0500
151,FRASER,"7 Springfield Rd, Ottawa, Ontario K1M 1C8 Canada",2021-06-22T11:29:44-0400
152,Play Food & Wine,"1 York St Sussex Dr., Ottawa, Ontario K1N 5S7 Canada",2017-06-21T11:38:39-0400
153,1 Elgin,"1 Elgin Street National Arts Centre, Ottawa, Ontario K1N 5W1 Canada",2019-02-18T16:31:30-0500
154,The Green Door,"198 Main St, Ottawa, Ontario K1S 1C6 Canada",2021-07-27T22:46:48-0400
155,Sterling,"835 rue Jacques-Cartier, Gatineau, Quebec J8T 2W3 Canada",2013-01-16T12:28:44-0500
156,Aroma Meze,"239 Nepean St, Ottawa, Ontario K2P 0B7 Canada",2013-01-13T10:54:54-0500
157,The Whalesbone Oyster House,"430 Bank St, Ottawa, Ontario K2P 1Y8 Canada",2019-04-02T20:02:25-0400
158,Pelican Seafood Market and Grill,"1500 Bank St. The Blue Heron mall, Ottawa, Ontario K1H 1B8 Canada",2020-08-06T13:04:29-0400
159,NeXT,"6400 Hazeldean Rd, Stittsville, Ottawa, Ontario K2S 1S4 Canada",2018-07-14T12:37:46-0400
160,Courtyard Restaurant,"21 George St, Ottawa, Ontario K1N 8W5 Canada",2023-12-08T15:32:06-0500
161,Town,"296 Elgin St Downtown, Ottawa, Ontario K2P 1M3 Canada",2017-07-17T20:59:17-0400
162,Shinka Sushi Bar,"2900 Sheffield Road Unit 3, Ottawa, Ontario K1B 1A4 Canada",2014-04-07T23:00:21-0400
163,Petit Bill's Bistro,"1293 Wellington St W, Ottawa, Ontario K1Y 3B1 Canada",2021-06-24T14:32:38-0400
164,Chez Lucien,"137 Murray St, Ottawa, Ontario K1N 5M7 Canada",2016-07-31T03:33:16-0400
165,Coconut Lagoon,"853 St. Laurent Blvd, Ottawa, Ontario K1K 3B1 Canada",2014-06-26T09:59:55-0400
166,The Keg Steakhouse + Bar - Ottawa Market,"75 York St, Ottawa, Ontario K1N 5T2 Canada",2019-01-31T21:44:07-0500
167,Sidedoor Contemporary Kitchen & Bar,"18 B York Street, Ottawa, Ontario K1N 5T5 Canada",2020-01-15T02:11:29-0500
168,Primo e Secondo,"7023 Rue St Dominique, Montreal, Quebec H2S 3B6 Canada",2023-10-03T16:41:07-0400
169,Gaspar Brasserie Francaise,"89, rue de la Commune Est, Montreal, Quebec H2Y 1J1 Canada",2023-05-23T16:18:13-0400
170,Kyo Bar Japonais,"711, Cote de la Place d'Armes, Montreal, Quebec H2Y 2X6 Canada",2019-08-22T12:50:58-0400
171,Bistro 1843,"376 Rue Cherrier L'Île-Bizard, Montreal, Quebec H9C 1E7 Canada",2021-08-12T13:32:11-0400
172,Falafel St. Jacques,"345 Rue Saint-Jacques Lachine, Montreal, Quebec H8R 1E6 Canada",2017-10-19T13:31:28-0400
173,Bouillon Bilk,"1595 Boul Saint-Laurent, Montreal, Quebec H2X 2S9 Canada",2015-08-09T07:48:26-0400
174,Damas Restaurant,"1201 Avenue Van Horne, Montreal, Quebec H2V 1K4 Canada",2019-02-12T21:18:00-0500
175,Le Club Chasse Et Peche,"423, rue St-Claude, Montreal, Quebec H2Y 3B6 Canada",2016-05-19T08:51:08-0400
176,La Campagnola Italian steakhouse,"Av. Dollard 1708-1714, Montreal, Quebec H8N 1T8 Canada",2019-04-09T18:02:57-0400
177,Le Filet,"219 Avenue du Mont-Royal Ouest, Montreal, Quebec H2T 2T2 Canada",2014-11-08T11:04:16-0500
178,Fenetre Sur Kaboul,"901 Rue Rachel Est, Montreal, Quebec H2J 2J2 Canada",2017-07-23T20:07:23-0400
179,Restaurant Le Pegase,"1831 rue Gilford, Montreal, Quebec H2H 1G6 Canada",2013-02-05T19:30:59-0500
180,Regine Cafe,"1840 Beaubien Street East, Montreal, Quebec H2G 1L6 Canada",2014-05-20T15:33:59-0400
181,Stash Cafe,"200 rue St-Paul Ouest, Montreal, Quebec H2Y 1Z9 Canada",2011-07-21T10:34:32-0400
182,Maggie Oakes,"426, Place Jacques-Cartier Montréal, Montreal, Quebec H2Y 3B3 Canada",2018-08-06T17:52:33-0400
183,Restaurant L'Avenue,"922 Avenue du Mont-Royal Est, Montreal, Quebec H2J 1X2 Canada",2017-04-10T03:50:46-0400
184,Salumi Vino,"358 rue Notre Dame E., Montreal, Quebec H2Y 1C7 Canada",2013-11-20T09:13:09-0500
185,Brasserie 701,"701, Cote de la Place d'Armes, Montreal, Quebec H2Y 2X6 Canada",2019-04-24T16:50:54-0400
186,Saint-Houblon Quartier Latin,"1567 Rue Saint-Denis, Montreal, Quebec H2X 3K3 Canada",2018-05-13T19:52:08-0400
187,Saint Sushi Plateau,"424 Duluth Ave E, Montreal, Quebec H2L 1A3 Canada",2019-04-19T23:30:55-0400
188,Ile Flottante,"174-176 Rue Saint Viateur Ouest, Montreal, Quebec H2T 2L3 Canada",2017-12-11T14:29:54-0500
189,Modavie,"1 St Paul W, Montreal, Quebec H2Y 1Y6 Canada",2018-08-06T17:38:06-0400
190,Tuck Shop,"4662 Rue Notre-Dame Ouest, Montreal, Quebec H4C 1S6 Canada",2018-10-14T14:12:03-0400
191,Vieux-Port Steakhouse,"39, Saint-Paul Street East, Montreal, Quebec H2Y 1G2 Canada",2014-08-04T14:19:40-0400
192,Terrasse William Gray,"421, Rue St-Vincent 8e Étage, Montreal, Quebec H2Y 3A6 Canada",2018-08-07T15:39:49-0400
193,Restaurant de l'ITHQ,"3535 Rue Saint-Denis, Montreal, Quebec H2X 3P1 Canada",2018-05-16T09:37:32-0400
194,Cafe Chat l'Heureux,"172, Duluth East Plateau Mont-Royal, Montreal, Quebec H2W 1H3 Canada",2014-11-14T21:36:46-0500
195,Restaurant Bonaparte,"443 Rue St. Francois Xavier, Montreal, Quebec H2Y 2T1 Canada",2023-06-12T14:52:27-0400
196,Cadet,"1431 St-Laurent Boulevard, Montreal, Quebec H2X 2S8 Canada",2018-02-23T07:27:01-0500
197,Il Focolaio,"1223 Rue du Square-Phillips, Montreal, Quebec H3B 3E9 Canada",2017-05-01T18:59:25-0400
198,Bis,"1229 Rue de la Montagne, Montreal, Quebec H3G 1Z2 Canada",2016-04-15T12:19:16-0400
